v8-version,5,1,281,88,0
code-creation,Stub,3,0x3d2d2ea0f560,2434,"RecordWriteStub"
code-creation,Stub,3,0x3d2d2ea0ff00,770,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x3d2d2ea10220,571,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x3d2d2ea10460,571,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x3d2d2ea106a0,503,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x3d2d2ea108a0,503,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x3d2d2ea10aa0,543,"ArrayNArgumentsConstructorStub"
code-creation,CallIC,12,0x3d2d2ea10cc0,113,"A call IC from the snapshot"
code-creation,Stub,3,0x3d2d2ea10d40,2360,"RecordWriteStub"
code-creation,Stub,15,0x3d2d2ea11680,356,"BinaryOpICStub"
code-creation,Stub,3,0x3d2d2ea11800,184,"DoubleToIStub"
code-creation,Stub,3,0x3d2d2ea118c0,507,"NumberToStringStub"
code-creation,Stub,3,0x3d2d2ea11ac0,182,"DoubleToIStub"
code-creation,Stub,15,0x3d2d2ea11b80,204,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea11c60,244,"BinaryOpICStub"
code-creation,Stub,3,0x3d2d2ea11d60,182,"DoubleToIStub"
code-creation,Stub,15,0x3d2d2ea11e20,443,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea11fe0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea12060,328,"An IC handler from the snapshot"
code-creation,Stub,3,0x3d2d2ea121c0,791,"FastNewClosureStub"
code-creation,Stub,3,0x3d2d2ea124e0,2410,"RecordWriteStub"
code-creation,Stub,3,0x3d2d2ea12e60,2406,"RecordWriteStub"
code-creation,CallIC,12,0x3d2d2ea137e0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3d2d2ea13860,464,"A call IC from the snapshot"
code-creation,Builtin,5,0x3d2d2ea13a40,248,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Stub,15,0x3d2d2ea13b40,151,"BinaryOpICStub"
code-creation,Stub,3,0x3d2d2ea13be0,575,"FastNewContextStub"
code-creation,Stub,3,0x3d2d2ea13e20,523,"FastNewContextStub"
code-creation,Stub,15,0x3d2d2ea14040,471,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea14220,328,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea14380,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea14400,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea14480,320,"BinaryOpICStub"
code-creation,Stub,3,0x3d2d2ea145c0,1224,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x3d2d2ea14aa0,363,"FastNewContextStub"
code-creation,Stub,15,0x3d2d2ea14c20,447,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea14de0,443,"BinaryOpICStub"
code-creation,CallIC,12,0x3d2d2ea14fa0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3d2d2ea15020,464,"A call IC from the snapshot"
code-creation,Stub,15,0x3d2d2ea15200,447,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea153c0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea15440,240,"An IC handler from the snapshot"
code-creation,Stub,3,0x3d2d2ea15540,2372,"RecordWriteStub"
code-creation,Stub,15,0x3d2d2ea15ea0,276,"BinaryOpICStub"
code-creation,Stub,3,0x3d2d2ea15fc0,188,"DoubleToIStub"
code-creation,Stub,3,0x3d2d2ea16080,419,"FastNewContextStub"
code-creation,Stub,15,0x3d2d2ea16240,244,"BinaryOpICStub"
code-creation,Stub,3,0x3d2d2ea16340,385,"JSEntryStub"
code-creation,Stub,3,0x3d2d2ea164e0,1966,"FastCloneShallowArrayStub"
code-creation,Stub,3,0x3d2d2ea16ca0,2406,"RecordWriteStub"
code-creation,Stub,15,0x3d2d2ea17620,276,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea17740,320,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea17880,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x3d2d2ea17900,407,"FastNewContextStub"
code-creation,Handler,4,0x3d2d2ea17aa0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea17b20,356,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea17ca0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea17d20,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea17da0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea17e20,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea17ea0,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3d2d2ea17f20,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3d2d2ea17fa0,464,"A call IC from the snapshot"
code-creation,Stub,3,0x3d2d2ea18180,333,"ArrayConstructorStub"
code-creation,Stub,3,0x3d2d2ea182e0,790,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3d2d2ea18600,2425,"RecordWriteStub"
code-creation,Stub,3,0x3d2d2ea18f80,798,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3d2d2ea192a0,595,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3d2d2ea19500,595,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3d2d2ea19760,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3d2d2ea199c0,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3d2d2ea19c20,587,"ArraySingleArgumentConstructorStub"
